input_name,host,registrable_domain,classification,classification_reason,delegation_status,delegation_reason,host_resolution_status,host_resolution_reason,ip_location_status,ip_location_reason,ip_location_policy_status,ip_location_policy_reason,ip_location_provider,source_id,source_input_label,source_ids,source_input_labels
lenovonowgo.com,lenovonowgo.com,lenovonowgo.com,manual_filtered_out,host was explicitly sent to review by manual_filter_out,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,manual_filter_out,/home/runner/work/niamodretlif/niamodretlif/input/manual_filter_out/direct.txt,"[""manual_filter_out"", ""direct""]","[""/home/runner/work/niamodretlif/niamodretlif/input/manual_filter_out/direct.txt"", ""https://is.gd/43bKSw""]"
lenovoprinter.com,lenovoprinter.com,lenovoprinter.com,manual_filtered_out,host was explicitly sent to review by manual_filter_out,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,manual_filter_out,/home/runner/work/niamodretlif/niamodretlif/input/manual_filter_out/direct.txt,"[""manual_filter_out"", ""direct""]","[""/home/runner/work/niamodretlif/niamodretlif/input/manual_filter_out/direct.txt"", ""https://is.gd/43bKSw""]"
lenovoprinter.net,lenovoprinter.net,lenovoprinter.net,manual_filtered_out,host was explicitly sent to review by manual_filter_out,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,manual_filter_out,/home/runner/work/niamodretlif/niamodretlif/input/manual_filter_out/direct.txt,"[""manual_filter_out"", ""direct""]","[""/home/runner/work/niamodretlif/niamodretlif/input/manual_filter_out/direct.txt"", ""https://is.gd/43bKSw""]"
lenovouat.com,lenovouat.com,lenovouat.com,manual_filtered_out,host was explicitly sent to review by manual_filter_out,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,manual_filter_out,/home/runner/work/niamodretlif/niamodretlif/input/manual_filter_out/direct.txt,"[""manual_filter_out"", ""direct""]","[""/home/runner/work/niamodretlif/niamodretlif/input/manual_filter_out/direct.txt"", ""https://is.gd/43bKSw""]"
lenslifephoto.com,lenslifephoto.com,lenslifephoto.com,manual_filtered_out,host was explicitly sent to review by manual_filter_out,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,manual_filter_out,/home/runner/work/niamodretlif/niamodretlif/input/manual_filter_out/direct.txt,"[""manual_filter_out"", ""direct""]","[""/home/runner/work/niamodretlif/niamodretlif/input/manual_filter_out/direct.txt"", ""https://is.gd/43bKSw""]"
lenwoo.com,lenwoo.com,lenwoo.com,manual_filtered_out,host was explicitly sent to review by manual_filter_out,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,manual_filter_out,/home/runner/work/niamodretlif/niamodretlif/input/manual_filter_out/direct.txt,"[""manual_filter_out"", ""direct""]","[""/home/runner/work/niamodretlif/niamodretlif/input/manual_filter_out/direct.txt"", ""https://is.gd/43bKSw""]"
leonblog.net,leonblog.net,leonblog.net,manual_filtered_out,host was explicitly sent to review by manual_filter_out,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,manual_filter_out,/home/runner/work/niamodretlif/niamodretlif/input/manual_filter_out/direct.txt,"[""manual_filter_out"", ""direct""]","[""/home/runner/work/niamodretlif/niamodretlif/input/manual_filter_out/direct.txt"", ""https://is.gd/43bKSw""]"
lepidard.com,lepidard.com,lepidard.com,manual_filtered_out,host was explicitly sent to review by manual_filter_out,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,manual_filter_out,/home/runner/work/niamodretlif/niamodretlif/input/manual_filter_out/direct.txt,"[""manual_filter_out"", ""direct""]","[""/home/runner/work/niamodretlif/niamodretlif/input/manual_filter_out/direct.txt"", ""https://is.gd/43bKSw""]"
leqiuba.com,leqiuba.com,leqiuba.com,manual_filtered_out,host was explicitly sent to review by manual_filter_out,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,manual_filter_out,/home/runner/work/niamodretlif/niamodretlif/input/manual_filter_out/direct.txt,"[""manual_filter_out"", ""direct""]","[""/home/runner/work/niamodretlif/niamodretlif/input/manual_filter_out/direct.txt"", ""https://is.gd/43bKSw""]"
leqiuzbc.org,leqiuzbc.org,leqiuzbc.org,manual_filtered_out,manual_filter_out entry was not present in any configured source,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,manual_filter_out_not_in_sources,/home/runner/work/niamodretlif/niamodretlif/input/manual_filter_out/direct.txt,"[""manual_filter_out_not_in_sources""]","[""/home/runner/work/niamodretlif/niamodretlif/input/manual_filter_out/direct.txt""]"
